日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024/1/4,10:00:00,商品期货,黄金2404(AU2404.XSGE),开多,市价单,1手,480.52,480520,1手,-,0,10,全部成交,2024/1/4 10:00
2024/1/11,21:30:00,商品期货,黄金2404(AU2404.XSGE),平多,市价单,-1手,481.32,-481320,-1手,-,800,10,全部成交,2024/1/11 21:30
2024/1/22,10:45:00,商品期货,黄金2404(AU2404.XSGE),开多,市价单,1手,481.28,481280,1手,-,0,10,全部成交,2024/1/22 10:45
2024/1/23,21:00:00,商品期货,黄金2404(AU2404.XSGE),平多,市价单,-1手,478.52,-478520,-1手,-,-2760,10,全部成交,2024/1/23 21:00
2024/1/25,21:00:00,商品期货,黄金2404(AU2404.XSGE),开多,市价单,1手,476.84,476840,1手,-,0,10,全部成交,2024/1/25 21:00
2024/1/25,22:00:00,商品期货,黄金2404(AU2404.XSGE),平多,市价单,-1手,477.68,-477680,-1手,-,840,0,全部成交,2024/1/25 22:00
2024/2/2,0:30:00,商品期货,黄金2404(AU2404.XSGE),开多,市价单,1手,483.94,483940,1手,-,0,10,全部成交,2024/2/2 0:30
2024/2/6,22:00:00,商品期货,黄金2404(AU2404.XSGE),平多,市价单,-1手,481.78,-481780,-1手,-,-2160,10,全部成交,2024/2/6 22:00
2024/2/22,13:45:00,商品期货,黄金2404(AU2404.XSGE),开多,市价单,1手,480.04,480040,1手,-,0,10,全部成交,2024/2/22 13:45
2024/2/22,14:15:00,商品期货,黄金2404(AU2404.XSGE),平多,市价单,-1手,480.24,-480240,-1手,-,200,0,全部成交,2024/2/22 14:15
2024/2/27,10:45:00,商品期货,黄金2404(AU2404.XSGE),开多,市价单,1手,481.54,481540,1手,-,0,10,全部成交,2024/2/27 10:45
2024/2/28,8:55:00,商品期货,黄金2404(AU2404.XSGE),平多,市价单,-1手,481.3,-481300,-1手,-,-240,10,全部成交,2024/2/28 9:01
2024/2/28,8:57:00,商品期货,黄金2406(AU2406.XSGE),开多,市价单,1手,482.12,482120,1手,-,0,10,全部成交,2024/2/28 9:01
2024/3/12,14:15:00,商品期货,黄金2406(AU2406.XSGE),平多,市价单,-1手,507.22,-507220,-1手,-,25100,10,全部成交,2024/3/12 14:15
2024/3/15,9:30:00,商品期货,黄金2406(AU2406.XSGE),开多,市价单,1手,506.72,506720,1手,-,0,10,全部成交,2024/3/15 9:30
2024/4/11,0:30:00,商品期货,黄金2406(AU2406.XSGE),平多,市价单,-1手,555.98,-555980,-1手,-,49260,10,全部成交,2024/4/11 0:30
2024/4/16,1:30:00,商品期货,黄金2406(AU2406.XSGE),开多,市价单,1手,565.1,565100,1手,-,0,10,全部成交,2024/4/16 1:30
2024/4/16,1:30:00,商品期货,黄金2406(AU2406.XSGE),平多,市价单,-1手,565.1,-565100,-1手,-,0,0,全部成交,2024/4/16 1:30
2024/4/18,21:00:00,商品期货,黄金2406(AU2406.XSGE),开多,市价单,1手,566.56,566560,1手,-,0,10,全部成交,2024/4/18 21:00
2024/4/23,9:30:00,商品期货,黄金2406(AU2406.XSGE),平多,市价单,-1手,553.78,-553780,-1手,-,-12780,10,全部成交,2024/4/23 9:30
