日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-01-02,09:31:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5921.8,1184360,1手,-,0,27.24,全部成交,2025-01-02 09:31:00
2025-01-02,09:52:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5932.6,-1186520,-1手,-,-2160,27.29,全部成交,2025-01-02 09:52:00
2025-01-02,10:13:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5925.2,1185040,1手,-,0,27.26,全部成交,2025-01-02 10:13:00
2025-01-02,10:23:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5936.4,-1187280,-1手,-,-2240,27.31,全部成交,2025-01-02 10:23:00
2025-01-02,11:12:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5912,1182400,1手,-,0,27.2,全部成交,2025-01-02 11:12:00
2025-01-02,14:30:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5790,-1158000,-1手,-,24400,26.63,全部成交,2025-01-02 14:30:00
2025-01-02,14:34:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5749,1149800,1手,-,0,26.45,全部成交,2025-01-02 14:34:00
2025-01-02,14:55:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5756.8,-1151360,-1手,-,-1560,26.48,全部成交,2025-01-02 14:55:00
2025-01-03,09:35:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5749,1149800,1手,-,0,26.45,全部成交,2025-01-03 09:35:00
2025-01-03,09:42:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5768.6,-1153720,-1手,-,-3920,26.54,全部成交,2025-01-03 09:42:00
2025-01-03,09:48:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5730,1146000,1手,-,0,26.36,全部成交,2025-01-03 09:48:00
2025-01-03,09:59:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5743.6,-1148720,-1手,-,-2720,26.42,全部成交,2025-01-03 09:59:00
2025-01-03,10:06:00,金融期货,中证1000指数(IM2501.CCFX),开空,市价单,1手,5728,1145600,1手,-,0,26.35,全部成交,2025-01-03 10:06:00
2025-01-03,10:13:00,金融期货,中证1000指数(IM2501.CCFX),平空,市价单,-1手,5753.4,-1150680,-1手,-,-5080,26.47,全部成交,2025-01-03 10:13:00
